日期,生产时长(H),工序,故障缘由,类型,频次,处理时间（min）,解决方式,停机率
2月15日,8,DOM左涂胶,旋转气缸未复位,机械故障,1,1,复位处理,
2月15日,8,DOM左涂胶,夹具未紧固,机械故障,1,1,复位处理,
2月15日,8,DOM左涂胶,铆钉枪无法打铆,机械故障,4,2,清枪处理，后加油润滑后暂无问题,
2月15日,8,DOM右涂胶,铆钉位置4无法识别,机器故障,1,0.5,系传感器未处于感应位部,
2月15日,8,DOM右涂胶,铆钉枪拉力不足,机械故障,2,2,清枪处理，第三次无效后更换枪头处理,
2月15日,8,DOM右拉铆,M6螺杆断裂,机器故障,1,1.5,更换螺杆处理,
2月15日,8,DOM右拉铆,M10螺杆老化,机器故障,1,1,更换螺杆处理,
2月15日,8,DOM右拉铆,M10枪中轴断裂,机器故障,1,1.5,更换中轴处理,
2月15日,8,DOM右拉铆,M10右侧夹具4感应器未识别,机器故障,4,0.5,系10枪头磨损致使传感器无法感应，目前员工自行使传感器感应处理,
2月15日,8,DOM左拧紧,小件掉落,人员失误,2,1,员工操作不当致使小件在推进过程中掉，规范操作,
2月15日,8,DOM右拧紧,铆钉位2断气,人员失误,4,0.5,系员工因铆钉孔未对齐，自行顶齐致使铆钉位传感器误识别从而不上气,
2月15日,8,DOM右拧紧,铆钉孔未对齐,机械故障,3,0.5,松开小件贴紧气缸，手动上气打铆处理,
2月15日,8,DOM右拧紧,小件贴紧气缸复位报错,人员失误,1,5,后经观察系铆钉枪线卡入小件气缸轨道导致报错,
2月15日,8,NG报错,DOM右拉铆M8孔拉力过大,NG,1,1,系铆钉枪及人员操作多方原因导致，属于偶现故障,
2月15日,8,涂胶机器人,机器人未归位,机械故障,5,1,未复位位置均为左门槛涂胶位，复位处理,
2月17日,8,涂胶机器人,机器人未归位,机器故障,2,1,未复位位置均为左门槛涂胶位，复位处理,
2月17日,8,DOM左涂胶,传感器感应不良,机器故障,1,0.5,已解决,
2月17日,8,DOM左拉铆,M10铆钉位无感应,机器故障,1,0.5,原因未知，复位解决,
2月17日,8,DOM右拉铆,M10铆钉位无感应,机器故障,1,0.5,因传感器不灵敏导致，复位处理,
2月17日,8,DOM右拉铆,M6寿命到达报警,机器故障,1,0.5,重置寿命期限处理,
2月17日,8,DOM右拉铆,M10铆钉位无感应,机器故障,1,0.5,同昨日，系传感器不灵敏导致，暂由员工感应处理,
2月17日,8,DOM右拉铆,M10铆钉枪卡枪,机器故障,1,4,疑螺杆松动，拧紧处理,
2月17日,8,DOM右拉铆,M10铆钉枪马达轴断裂,机器故障,1,15,疑马达总成老化，疑昨日中轴断裂也系于此，换枪处理,
2月17日,8,DOM右拉铆,M10铆钉枪无法顺利拉铆,机器故障,1,1,反应迟钝，待观察,
2月17日,8,DOM右拉铆,M10铆钉枪枪头卡死,机器故障,1,5,疑枪套紧固螺母松动，经处理后取出枪头，紧固处理,
2月17日,8,DOM左拧紧,打铆位铆钉断于内部,人员失误,1,1.5,复位后重新打铆处理,
2月17日,8,DOM左拧紧,铆钉位2断气,人员失误,1,0.5,员工误操作致使铆钉位传感器误识别，重新上气，手动打铆处理,
2月17日,8,DOM左拧紧,铆钉位2报错,人员失误,1,0.5,员工误操作致使铆钉位传感器打铆后误识别,
2月17日,8,DOM右拧紧,铆钉位2断气,人员失误,1,0.5,员工误操作致使铆钉位传感器误识别，重新上气，手动打铆处理,
2月17日,8,DOM右拧紧,铆钉孔未对齐,机器故障,4,0.5,疑似定位件松动，后经观察未发现问题，待观察，出现复位打铆处理,
2月17日,8,DOM右拧紧,小件贴紧气缸复位报错,人员失误,1,5,后经观察系铆钉枪线卡入小件气缸轨道导致报错,
2月17日,8,DOM右拧紧,铆钉位2未识别结果,人员失误,2,0.5,员工误操作致铆钉位2无结果反馈，手动上气重新打铆处理,
2月17日,8,NG报错,左拧紧2#铆钉位位移不足报错,NG,6,0.5,报NG处理,
2月18日,8,涂胶机器人,机器人未归位,机器故障,2,1,未复位位置均为左门槛涂胶位，复位处理,
2月18日,8,DOM左拉铆,M10铆钉位中轴断裂,机器故障,1,3,因无备用件，换枪处理,
2月18日,8,DOM左拧紧,光栅遮挡报错,人员失误,1,0.5,系员工误操作导致，复位处理,
2月18日,8,DOM左拧紧,铆钉位2断气,人员失误,1,0.5,员工误操作致使铆钉位传感器误识别，重新上气，手动打铆处理,
2月18日,8,DOM右拧紧,铆钉孔未对齐,机器故障,4,0.5,疑似定位件松动，后经观察未发现问题，待观察，出现复位打铆处理,
2月18日,8,DOM右拧紧,夹紧气缸工作超时报错,机器故障,1,1,复位处理,
2月18日,8,NG报错,左拧紧2#铆钉位位移不足报错,NG,2,0.5,报NG处理,
2月18日,8,NG报错,右拧紧2#铆钉位位移不足报错,NG,6,0.5,报NG处理,
2月19日,8,涂胶机器人,机器人未归位,机器故障,1,1,未复位位置均为左门槛涂胶位，复位处理,
2月19日,8,DOM左拧紧,铆钉位2断气,人员失误,7,0.5,员工误操作致使铆钉位传感器误识别，重新上气，手动打铆处理,
2月19日,8,DOM右拧紧,铆钉孔未对齐,机器故障,6,0.5,疑似定位件松动，后经观察未发现问题，待观察，出现复位打铆处理,
2月19日,8,DOM右拧紧,铆钉位2断气,人员失误,1,0.5,员工误操作致使铆钉位传感器误识别，重新上气，手动打铆处理,
2月19日,8,NG报错,左拧紧2#铆钉位位移不足报错,NG,1,0.5,报NG处理,
2月20日,8,涂胶机器人,机器人未归位,机器故障,1,1,未复位位置均为左门槛涂胶位，复位处理,
2月20日,8,DOM左涂胶,传感器感应不良,机器故障,6,0.5,疑为传感器感应位置偏移，暂时调整，明日观察,
2月20日,8,DOM左拉铆,M10铆钉位无感应,机器故障,1,0.5,原因未知，复位处理,
2月20日,8,DOM右拉铆,M10枪进水致使无法拉铆,机器故障,1,40,由于该枪接有两条气管且空压机长期未排水，致使气管进水从而进入枪里，已修复2/17损坏之恩庆M10铆钉枪替换之。此日造成大延迟，后应密切关注排水问题。,
2月20日,8,DOM左拧紧,贴紧感应灯未正常亮起,机器故障,1,0.5,系传感器数据接口脱落导致，已检查所有同类接口，无此问题,
2月20日,8,DOM左拧紧,急停继合按键吸起,员工失误,1,0.5,系员工误触急停按键导致，复位处理,
2月20日,8,DOM右拧紧,卡线致使小工件递进报错,人员失误,1,0.5,员工误操作致使拧紧枪线卡入导轨内，手动松开处理。鉴于多次出现此情况，今日晚重新捆缚线缆，继续观察,
2月20日,8,DOM右拧紧,工件未贴紧致小件递进气缸超时,人员失误,1,0.5,手动重新送入工件处理,
2月20日,8,DOM右拧紧,铆钉孔未对齐,机器故障,8,0.5,疑似定位件松动，后经观察未发现问题，待观察，出现移出工件手动上气打铆处理,
2月20日,8,NG报错,左拧紧位移不足,NG,1,0.5,报NG处理,
2月21日,8,DOM左拉铆,M10未感应打开,机器故障,1,0.5,偶发性故障，暂时未发现异常,
2月21日,8,DOM左拉铆,M10无法打入,机器故障,1,0.5,后发现系工件问题,
2月21日,8,DOM右拧紧,铆钉孔未对齐,机器故障,7,0.5,调整2#定位销+2mm，待观察,
2月21日,8,NG报错,左拉铆拉力过大,NG,1,0.5,报NG处理,
2月21日,8,NG报错,左拧紧位移不足,NG,2,0.5,报NG处理,
2月22日,8,DOM右拉铆,M6螺杆断裂,机器故障,1,0.5,更换螺杆处理,
2月22日,8,DOM右拧紧,铆钉孔未对齐,机器故障,1,0.5,手动打铆处理 p.s：昨日调整定位销后有很大改善，观察中,
2月22日,8,NG报错,右拧紧铆钉位过拉,NG,3,0.5,报NG处理,
2月24日,8,DOM左拉铆,M6铆钉位无感应,机器故障,3,0.5,已调整,
2月24日,8,DOM左拉铆,M6铆钉枪未处于打铆位,机器故障,2,0.5,已调整,
2月24日,8,DOM左拉铆,误触急停,人员失误,1,0.5,复位处理,
2月24日,8,DOM右拉铆,M6未识别断气,人员失误,3,0.5,手动上气打铆处理,
2月24日,8,DOM右拉铆,M8未识别断气,人员失误,3,0.5,手动上气打铆处理,
2月24日,8,DOM左拧紧,返工件入操作面致报错,人员失误,1,0.5,手动打开处理,
2月24日,8,DOM右拧紧,铆钉位2号误感应断气,人员失误,1,0.5,手动上气打铆处理,
2月24日,8,NG报错,左拧紧2号铆钉位位移不足,NG,4,0.5,报NG处理,
2月25日,8,涂胶机器人,机器人未归位,机器故障,2,1,未复位位置均为左门槛涂胶位，复位处理,
2月25日,8,DOM左拉铆,M10拉杆断裂,机器故障,1,0.5,更换拉杆处理,
2月25日,8,DOM左拧紧,铆钉孔未对齐,机器故障,1,0.5,手动上气打铆处理,
2月25日,8,NG报错,右拧紧铆钉位2位移不足,NG,1,0.5,报NG处理,
2月26日,8,涂胶机器人,机器人未归位,机器故障,3,1,未复位位置均为左门槛涂胶位，复位处理,
2月26日,8,DOM左拉铆,M10枪套内螺纹塌陷,机器故障,1,0.5,换枪处理,
2月26日,8,DOM右拧紧,贴紧气缸工作超时,机器故障,4,0.5,系传感器问题，已解决,
2月26日,8,NG报错,左拧紧铆钉1位移不足,NG,1,0.5,报NG处理,
2月26日,8,NG报错,右拉铆M8位移不足,NG,1,0.5,报NG处理,
2月26日,8,NG报错,右拧紧铆钉1位移不足,NG,7,0.5,报NG处理,
2月27日,8,DOM左涂胶,传感器感应不良,机器故障,6,0.5,清理传感器，已解决,
2月27日,8,DOM左拉铆,M10枪头卡死,机器故障,1,0.5,修复恩庆M10枪替换之,
2月27日,8,DOM右拉铆,M6螺杆断裂,机器故障,1,0.5,更换螺杆处理,
2月27日,8,NG报错,左拧紧铆钉1位移不足,NG,1,0.5,报NG处理,
2月27日,8,NG报错,左拉铆M8位移不足,NG,1,0.5,报NG处理,
2月27日,8,DOM左涂胶,传感器感应不良,机器故障,6,0.5,清理传感器，已解决,
2月27日,8,DOM左拉铆,M10枪头卡死,机器故障,1,0.5,修复恩庆M10枪替换之,
2月27日,8,DOM右拉铆,M6螺杆断裂,机器故障,1,0.5,更换螺杆处理,
2月27日,8,NG报错,左拧紧铆钉1位移不足,NG,1,0.5,报NG处理,
2月27日,8,NG报错,左拉铆M8位移不足,NG,1,0.5,报NG处理,
2月28日,8,涂胶机器人,机器人未归位,机器故障,12,1,未复位位置均为左门槛涂胶位，复位处理,
2月28日,8,DOM左拉铆,M10枪报错,机器故障,2,0.5,换枪处理,
2月28日,8,DOM右拧紧,铆钉位1断气,人员失误,4,0.5,手动上气打铆处理,
2月28日,8,NG报错,左拧紧铆钉1位移不足,NG,3,0.5,报NG处理,
3月3日,8,DOM右拉铆,M6拉杆断裂,机器故障,1,0.5,更换拉杆处理,
3月3日,8,DOM右拉铆,M10拉杆断裂,机器故障,1,45,先更换斯旺西枪，由于气管口为12mm口径且为母头，且枪气管为8mm，寻找公头耗费时间，后取出断杆，更换拉杆处理,
3月3日,8,DOM右拧紧,铆钉位1断气,人员失误,2,0.5,手动上气打铆处理,
3月4日,8,涂胶机器人,机器人未归位,机器故障,3,1,未复位位置均为左门槛涂胶位，复位处理,
3月4日,8,DOM左涂胶,传感器感应不良,机器故障,1,0.5,1号铆钉位定位传感器松动，已紧固,
3月4日,8,DOM右拉铆,M10中轴断裂,机器故障,1,1.5,更换中轴处理,
3月4日,8,NG报错,左三序拉力不足报错,NG,8,0.5,报NG处理,
3月4日,8,NG报错,右三序位移不足报错,NG,1,0.5,报NG处理,
3月5日,8,DOM左拧紧,拉铆位2频繁报错,机器故障,5,0.5,后经观察系油压不足导致，补油处理，若干件后又出现相似问题，系给油太多，去部分油后问题解决,
3月6日,8,DOM左涂胶,打码机不打码,机器故障,1,3,红光定位后得以解决,
3月10日,8,DOM左拧紧,螺纹板接近传感器不亮,机器故障,3,0.5,系传感器松动，紧固处理,
3月10日,8,DOM左拧紧,工件递进气缸超时,机器故障,1,0.5,系气缸传感器松动，已紧固,
3月10日,8,NG报错,左三序拉力不足报错,NG,8,0.5,NG报错处理,
3月12日,8,DOM右涂胶,拉铆枪拉力不足,机器故障,6,8,传感器均无感应，后发现拉铆结果均为NG，补油处理,
3月14日,8,DOM右拉铆,M10铆钉枪马达轴断裂,机器故障,1,4,因无配件，换枪处理,
3月17日,8,涂胶机器人,涂胶机器人内部胶体凝结,机器故障,1,690,全部位清胶+通胶处理,
3月18日,8,DOM左涂胶,涂胶点位错误+排胶不畅,机器故障,1,60,系昨日遗留问题,
3月18日,8,DOM左拉铆,M10拉铆报错,机器故障,5,0.5,系压力不稳，暂时无解决办法，换枪处理,
3月19日,8,DOM左涂胶,打码机加密狗掉线,机器故障,4,0.5,,
3月20日,8,DOM右涂胶,拉铆枪拉力不足,机器故障,2,2,补油处理,
3月20日,8,DOM右拉铆,meas掉线,机器故障,1,2,拉铆位全部失去信号,
3月20日,8,DOM右拉铆,M6误感应断气,机器故障,1,1.5,手动上气打铆处理,
3月20日,8,DOM右拉铆,M6无法成功拉铆,机器故障,5,0.5,换枪处理,
3月20日,8,DOM右拧紧,铆钉位2断气,机器故障,2,0.5,手动上气打铆处理,
3月20日,8,DOM右拧紧,铆钉位1无感应,机器故障,2,0.5,传感器松动,
3月20日,8,NG报错,铆钉位2位移不足,机器故障,2,0.5,报NG处理,
